Fecha,Vendedor,Producto,Precio,Cantidad,Total
2024-05-21,John,Detergente,5.99,3,17.97
2024-05-21,Lisa,Toallas de papel,2.49,5,12.45
2024-05-21,Michael,Pañuelos de papel,1.99,10,19.90
2024-05-21,Emily,Jabón de manos,3.29,2,6.58
2024-05-21,David,Champú,8.99,1,8.99
2024-05-21,Sarah,Crema de afeitar,6.49,4,25.96
2024-05-21,Chris,Papel higiénico,7.99,3,23.97
2024-05-21,Emma,Cepillos de dientes,1.79,6,10.74
2024-05-21,Nathan,Desodorante,4.59,2,9.18
2024-05-21,Olivia,Enjuague bucal,3.99,3,11.97
2024-05-21,Alexis,Toallas de papel,2.49,5,12.45
2024-05-21,Ryan,Detergente,5.99,3,17.97
2024-05-21,Hannah,Pañuelos de papel,1.99,10,19.90
2024-05-21,Matthew,Jabón de manos,3.29,2,6.58
2024-05-21,Ava,Champú,8.99,1,8.99
2024-05-21,Ethan,Crema de afeitar,6.49,4,25.96
2024-05-21,Isabella,Papel higiénico,7.99,3,23.97
2024-05-21,Mia,Cepillos de dientes,1.79,6,10.74
2024-05-21,Noah,Desodorante,4.59,2,9.18
2024-05-21,Sophia,Enjuague bucal,3.99,3,11.97
2024-05-21,James,Detergente,5.99,3,17.97
2024-05-21,Amelia,Toallas de papel,2.49,5,12.45
2024-05-21,Charlotte,Pañuelos de papel,1.99,10,19.90
2024-05-21,Benjamin,Jabón de manos,3.29,2,6.58
2024-05-21,Mason,Champú,8.99,1,8.99
2024-05-21,Evelyn,Crema de afeitar,6.49,4,25.96
2024-05-21,Harper,Papel higiénico,7.99,3,23.97
2024-05-21,Elijah,Cepillos de dientes,1.79,6,10.74
2024-05-21,Liam,Desodorante,4.59,2,9.18
2024-05-21,Avery,Enjuague bucal,3.99,3,11.97

